,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
154,DOT-USD,ADA-USD,0.8471996708514761,0.33815806469182674,0.22920571499727815,0.2173258782324169,0.12647217794151805,0.17189902808696747,0.12647217794151805,0.2173258782324169
155,FLOW-USD,PI-USD,0.8451894928745893,0.27525229090413883,0.036679019889215125,,,,,
156,FLOKI-USD,BTC-USD,0.8449688539429505,0.17350689475154707,0.9866564424485347,0.028655159069070672,0.696877584760081,0.36276637191457584,0.028655159069070672,0.696877584760081
157,ETH-USD,BTC-USD,0.843773772445747,0.2945516390598798,0.9654871239148519,0.7185102899889053,0.9858807288148527,0.8521955094018789,0.7185102899889053,0.9858807288148527
158,THETA-USD,LINK-USD,0.8436318592811282,0.1492778838825759,0.18695943356765016,0.003956349040718677,0.004305637289548,0.004130993165133339,0.003956349040718677,0.004305637289548
159,FLOKI-USD,SOL-USD,0.8429371134586895,0.17350689475154707,0.7755973907144551,0.0033829601387364524,0.058421434773872634,0.030902197456304542,0.0033829601387364524,0.058421434773872634
160,TRX-USD,BNB-USD,0.8419907272556882,0.9592492139687313,0.6265869384620631,0.6076949188739523,0.25179814174126436,0.42974653030760834,0.25179814174126436,0.6076949188739523
161,SAND-USD,AVAX-USD,0.8412641453276976,0.17227692854799848,0.13933565730774095,0.18645590744672436,0.16427917127853997,0.17536753936263216,0.16427917127853997,0.18645590744672436
162,STX-USD,ATOM-USD,0.8406661251731398,0.5097074929040193,0.19112106943699508,0.023915733973148504,0.01697869668736413,0.020447215330256317,0.01697869668736413,0.023915733973148504
163,POL-USD,BCH-USD,0.8404674492396929,0.4957827565824214,0.03709806613600845,,,,,
164,CRV-USD,DOT-USD,0.8402398481165275,0.023364124046571656,0.33815806469182674,,,,,
165,KAS-USD,BCH-USD,0.8390915650650265,0.6709424923707794,0.6098628658945775,0.05913056341700835,0.04651136071524064,0.052820962066124494,0.04651136071524064,0.05913056341700835
166,PI-USD,TON-USD,0.8383819558535505,0.020563601653095974,0.20338224358772516,,,,,
167,CRV-USD,XTZ-USD,0.8374237400231963,1.5615731840826258e-14,0.48364458332426374,,,,,
168,JASMY-USD,ENS-USD,0.8365755583434897,5.819481409007725e-10,0.054455084304478624,,,,,
169,ETC-USD,ADA-USD,0.8363180381440892,0.058213974803486876,0.24845350157836088,0.0008901418198707732,0.013055313090604778,0.006972727455237775,0.0008901418198707732,0.013055313090604778
170,ALGO-USD,VET-USD,0.8361672666886047,0.5047636489909278,0.043741794496021606,,,,,
171,THETA-USD,XMR-USD,0.8355426336476478,0.1492778838825759,0.09629483712039766,0.0006042567175169719,0.0002600938463813171,0.0004321752819491445,0.0002600938463813171,0.0006042567175169719
